question,ground_truth_context,ground_truth,question_type,episode_done
"Как оплатить покупки по QR-коду в приложении bank_name, если были переводы из другого банка?","['- Если вы переводили деньги из другого банка, обратитесь в поддержку банка-отправителя.\n- Если вы отправляли деньги с другого счета в bank_name, скорее всего, вы не завершили операцию. Попробуйте отправить деньги еще раз. Если сделать это не получилось, обратитесь в чат поддержки.\n- Как оплатить покупки по QR-коду? Вот как это сделать:\n- В приложении bank_name откройте раздел ""Платежи"".\n- В правом верхнем углу экрана нажмите на значок сканера QR-кодов.']","['Если вы переводили деньги из другого банка, обратитесь в поддержку банка-отправителя.']",conditional,True
Какие документы нужны для оформления дебетовой карты с бесплатным обслуживанием и оповещениями о действиях?,"['Какие документы нужны для оформления дебетовой карты?\nМы на связи круглосуточно, без выходных и праздников. Обращайтесь в банк так, как вам удобно: напишите в чат или позвоните на бесплатный номер.\nСколько стоит обслуживание, выпуск и доставка дебетовой карты?\nОбслуживание карты и рублевого счета — бесплатно или 99 ₽ за расчетный период.\nОповещения о действиях с картой: выпуск, перевыпуск, блокировка, пополнение карты, платежи на bank_name.ru и в приложении bank_name, выписка по карте — бесплатно.\nОповещения об операциях по карте: покупки в магазинах, снятие наличных — 59 ₽ в месяц, если карта привязана к номеру телефона bank_name Мобайла, 99 ₽ для других операторов, бесплатно для всех с подпиской bank_name Pro или премиум-сервисом.\nЗащита денег на карте от мошенничества — 99 ₽ в месяц, подключается по желанию.\nПользование личным кабинетом на сайте bank_name.ru и мобильным приложением — бесплатно.\nКогда списывается плата за обслуживание банковской карты?']","['Для оформления дебетовой карты с бесплатным обслуживанием и оповещениями о действиях необходимы следующие документы:\n1. Паспорт гражданина Российской Федерации.\n2. Заявление на оформление дебетовой карты.\n3. Документы, подтверждающие место жительства (например, справка о регистрации).\n4. Иные документы, которые могут потребоваться в соответствии с требованиями банка.']",multi_context,True
Какие способы перевода денег доступны в мобильном приложении для перевода на карту bank_name?,"['- В\xa0мобильном приложении выберите\xa0счет\xa0→\xa0«Перевести»\xa0→ выберите способ перевода.\n- Вы можете выбрать любой способ перевода — например, по номеру телефона.\n- Еще один способ: откройте вкладку «Платежи», а затем выберите способ перевода.\n- Во вкладке «Платежи» вы можете выбрать операцию, которую хотите совершить, в том числе сделать перевод.\n- В\xa0личном кабинете на\xa0телефоне или\xa0компьютере: раздел «Платежи»\xa0→ блок «Переводы»\xa0→ выберите способ перевода.\n- Вы\xa0можете перевести деньги на\xa0карту любого российского банка и\xa0карты некоторых иностранных\xa0банков-партнеров.\n- В\xa0мобильном приложении выберите\xa0счет\xa0→\xa0«Перевести»\xa0→ «Переводы по\xa0телефону».\n- В\xa0личном кабинете перейдите в\xa0раздел «Платежи» и\xa0в\xa0блоке «Переводы по\xa0телефону» нажмите на\xa0поле для\xa0ввода номера.\n- Можно выбрать, на\xa0какой из\xa0банковских счетов получателя переводить деньги, или\xa0отправить ему перевод ссылкой\xa0— он\xa0сам выберет, куда его зачислить.\n- В\xa0мобильном приложении и\xa0личном кабинете: «Платежи»\xa0→ «Переводы»\xa0→ «По\xa0номеру карты».\n- В\xa0мобильном приложении и\xa0личном кабинете: «Платежи»\xa0→ «Переводы»\xa0→ «По\xa0номеру договора».\n- В\xa0мобильном приложении и\xa0личном кабинете: «Платежи»\xa0→ «Переводы»\xa0→ «По\xa0номеру договора».\n- В\xa0мобильном приложении и\xa0личном кабинете: «Платежи»\xa0→ «Переводы»\xa0→ «По\xa0номеру счета».']","['В мобильном приложении для перевода на карту bank_name доступны следующие способы перевода денег:\n- Перевод по номеру телефона.\n- Перевод через вкладку ""Платежи"".\n- Перевод через раздел ""Платежи"" и блок ""Переводы"".\n- Перевод по номеру карты.\n- Перевод по номеру договора.\n- Перевод по номеру счета.']",conditional,False
Какие ограничения или проблемы могут возникнуть при использовании мобильного приложения для перевода денег на карту bank_name?,"['- Вы можете выбрать любой способ перевода — например, по номеру телефона\n- Если с нашей стороны будет комиссия, мы предупредим о ней.\n- Можно выбрать, на какой из банковских счетов получателя переводить деньги, или отправить ему перевод ссылкой — он сам выберет, куда его зачислить.\n- По номеру карты можно перевести деньги в любые российские банки и за границу в некоторые иностранные банки. Для международных переводов нужно будет указать еще имя и фамилию получателя.\n- Так можно перевести деньги только клиенту bank_name.\n- Моментально приходят переводы:\n  - на счета в bank_name;\n  - через Систему быстрых платежей;\n  - по номеру телефона, в том числе за границу.']",['При использовании мобильного приложения для перевода денег на карту bank_name могут возникнуть следующие ограничения или проблемы:\n- Возможно наличие комиссии со стороны приложения.\n- Ограничение на выбор банковского счета получателя или отправку перевода ссылкой.\n- Ограничение на перевод денег только клиенту bank_name.\n- Для международных переводов необходимо указать имя и фамилию получателя.'],conditional,True
"Как сделать банковский перевод по реквизитам счета, если нет денег на покупку и хочется воспользоваться Кубышкой для пополнения счета?","['- Сделать банковский перевод по реквизитам счета можно в приложении и личном кабинете другого банка или офлайн - в отделении или банкомате.\n- Сделать это можно двумя способами: в приложении bank_name или личном кабинете: выберите счет → ""Пополнить"" → ""С карты другого банка"". Через кнопку ""Пополнить"" вы можете выбрать нужный способ пополнения.\n- С другого счета в bank_name можно сделать в приложении bank_name или личном кабинете: выберите счет → ""Пополнить"" → ""С моего счета в bank_name"".\n- Если у вас не хватает денег на покупку, например, на кассе в магазине, вы можете воспользоваться Кубышкой и пополнить счет из нее.\n- Еще вы можете отправить другим клиентам bank_name номер своего телефона, карты или договора, чтобы они пополнили ваш счет мгновенно и без комиссии на любую сумму. А если собираете деньги на что-то конкретное, например на общий подарок, то отправьте запрос на перевод.\n- С привязанной карты другого банка в мобильном приложении на главном экране выберите карту другого банка → ""Пополнить с этой карты"". В личном кабинете выберите карту → ""Пополнение"".']","['Вы можете сделать банковский перевод по реквизитам счета, используя приложение или личный кабинет другого банка. Вам также доступны офлайн-варианты, такие как посещение отделения или банкомата. Если у вас нет денег на покупку, вы можете воспользоваться Кубышкой для пополнения счета.']",reasoning,True
Какие преимущества у дебетовой карты bank_name Black?,"['- Вы можете сами решать, на какую карту получать зарплату или пособия.\n- Проценты начисляем, если подключена подписка bank_name Pro.\n- Везде, где принимают оплату картой.\n- Если пользуетесь картой с платежной системы «Мир», можете привязать ее к приложению Samsung Pay или Mir Pay и оплачивать покупки телефоном.\n- Бывает, что магазин не принимает карты к оплате.\n- Карта bank_name Black — универсальная: с ней удобно получать зарплату, пособия или пенсию, оплачивать повседневные покупки и решать финансовые задачи.\n- В конце каждого месяца выбирайте четыре категории покупок с кэшбэком на следующий месяц.\n- Храните деньги на карте и оплачивайте покупки хотя бы на 3000 ₽ в месяц — тогда банк будет начислять 5% годовых на остаток на вашей карте до 300 000 ₽.\n- Если на карте, вкладах, накопительных и брокерских счетах каждый день в сумме хранится не меньше 50 000 ₽, платы за обслуживание карты нет.\n- Бесплатное снятие наличных в банкоматах bank_name — любую сумму до 500 000 ₽ в месяц, а в остальных банкоматах — от 3000 ₽ до 100 000 ₽.\n- Переводы без комиссии в другой банк по номеру карты или телефона до 20 000 ₽ в месяц.\n- Бесплатное пополнение.\n- Удобное мобильное приложение.\n- Бесплатные дополнительные карты.\n- Детская банковская карта.\n- Круглосуточная поддержка.']","['Преимущества у дебетовой карты bank_name Black включают:\n- Возможность самостоятельно выбирать, на какую карту получать зарплату или пособия.\n- Начисление процентов, если подключена подписка bank_name Pro.\n- Возможность использования карты для оплаты везде, где принимают оплату картой.\n- Возможность привязки карты с платежной системы «Мир» к приложению Samsung Pay или Mir Pay для оплаты покупок телефоном.\n- Универсальность карты bank_name Black, которая позволяет удобно получать зарплату, пособия или пенсию, оплачивать повседневные покупки и решать финансовые задачи.\n- Возможность выбора четырех категорий покупок с кэшбэком на следующий месяц.\n- Начисление 5% годовых на остаток на карте до 300 000 ₽ при хранении денег на карте и оплате покупок на сумму хотя бы 3000 ₽ в месяц.\n- Отсутствие платы за обслуживание карты при хранении не менее 50 000 ₽ на карте, вкладах, накопительных и брокерских счетах каждый день.\n- Бесплатное снятие наличных в банкоматах bank_name до 500 000 ₽ в месяц и в остальных банкоматах от 3000 ₽ до 100 000 ₽.\n- Возможность осуществления переводов без комиссии в другой банк по номеру карты или телефона до 20 000 ₽ в месяц.\n- Бесплатное пополнение карты.\n- Наличие удобного мобильного приложения.\n- Возможность получения бесплатных дополнительных карт.\n- Возможность использования детской банковской карты.\n- Круглосуточная поддержка.']",simple,True
Какие способы снятия денег без карты доступны?,"['- Бесконтактно со смартфоном. Если у вас телефон на Android, добавьте карту в bank_name Pay или установите приложения Samsung Pay или Mir Pay и привяжите к ним карту «Мир». Чтобы снять наличные, нужно приложить смартфон к считывателю банкомата и ввести ПИН-код.\n- По QR-коду. Создайте QR-код на конкретную сумму в приложении bank_name:\n- С помощью платежного стикера bank_name Pay. Это наклейка с чипом как у обычной карты. Стикер можно приклеить к телефону и прикладывать к считывателю банкомата.']","['Способы снятия денег без карты доступны следующие:\n- Бесконтактно со смартфоном через приложения bank_name Pay, Samsung Pay или Mir Pay.\n- По QR-коду, созданным в приложении bank_name.\n- С помощью платежного стикера bank_name Pay, который можно приклеить к телефону и прикладывать к считывателю банкомата.']",simple,True
Можно ли пополнить дебетовую карту онлайн через Систему быстрых платежей в приложении bank_name до доставки карты?,"['- Через Систему быстрых платежей в приложении bank_name.\n- Чтобы запросить деньги, выберите счет → «Пополнить» → «С моего счета в другом банке» → укажите нужный банк → введите сумму.\n- Выберите способ пополнения «С моего счета в другом банке», чтобы перевести деньги без комиссии.\n- Через Систему быстрых платежей в приложении другого банка.\n- В некоторых банках все переводы по номеру телефона автоматически проходят через Систему быстрых платежей.\n- В этом случае в сервисе стороннего банка выберите переводы по номеру телефона и укажите тот номер, который привязан к карте bank_name.\n- Банковским переводом по реквизитам счета.\n- Сделать банковский перевод по реквизитам счета можно в приложении и личном кабинете другого банка или офлайн - в отделении или банкомате.\n- С карты другого банка.\n- Сделать это можно двумя способами.\n- В приложении bank_name или личном кабинете: выберите счет → «Пополнить» → «С карты другого банка».\n- В специальном сервисе для переводов с карты на карту введите номера обеих карт и сумму перевода.\n- С другого счета в bank_name.\n- Это можно сделать в приложении bank_name или личном кабинете: выберите счет → «Пополнить» → «С моего счета в bank_name».\n- Если у вас не хватает денег на покупку, например, на кассе в магазине, вы можете воспользоваться Кубышкой и пополнить счет из нее.\n- Еще вы можете отправить другим клиентам bank_name номер своего телефона, карты или договора, чтобы они пополнили ваш счет мгновенно и без комиссии на любую сумму.\n- А если собираете деньги на что-то конкретное, например на общий подарок, то отправьте запрос на перевод.\n- С привязанной карты другого банка.\n- В мобильном приложении на главном экране выберите карту другого банка → «Пополнить с этой карты».\n- В личном кабинете выберите карту → «Пополнение».\n- Привязать карту можно так.']","['Да, можно пополнить дебетовую карту онлайн через Систему быстрых платежей в приложении bank_name до доставки карты.']",conditional,True
Как пополнить счет до получения карты?,"['- Если у\xa0вас уже есть карта bank_name, вам будут доступны все возможности мобильного приложения и\xa0личного кабинета bank_name.\n- Если вы\xa0еще не\xa0клиент bank_name, доступные вам операции до\xa0получения карты зависят от\xa0того, указывали\xa0ли вы\xa0в\xa0заявке паспортные данные.\n- Чтобы начать пользоваться счетом:\n1. Установите приложение.\n2. Войдите с\xa0помощью номера телефона, который вы\xa0оставили\xa0при\xa0заполнении заявки. Задайте пароль для\xa0входа.\n3. Пополните зарезервированный счет.\n- Если у вас Android, привяжите карту к телефону и оплачивайте покупки с него. Для этого в приложении bank_name нажмите на иконку карты bank_name Black, а затем —\xa0«Добавить в bank_name Pay». Или скачайте приложение для бесконтактной оплаты Samsung Pay или Mir Pay, и привяжите карту там.\n- Если в\xa0заявке вы\xa0указали лишь ФИО и\xa0телефон, то\xa0до\xa0получения карты ее\xa0счет можно будет пополнить только с\xa0карты другого банка. Это легко сделать через сервисы bank_name:\n- Если после оформления карты вы\xa0введете свои паспортные данные\xa0в\xa0приложении bank_name, то\xa0сможете пополнить ее\xa0и\xa0другими способами:\n- Наличными в\xa0банкоматах bank_name\xa0— на\xa0любую сумму без\xa0комиссии. Банкомат считает карту со\xa0смартфона, если на\xa0нем настроена бесконтактная оплата.']","['Чтобы пополнить счет до получения карты, нужно установить приложение bank_name, войти с помощью номера телефона, который был указан при заполнении заявки, задать пароль для входа и пополнить зарезервированный счет. Если в заявке были указаны только ФИО и телефон, то счет можно будет пополнить только с карты другого банка через сервисы bank_name. Если после оформления карты введутся паспортные данные в приложении bank_name, то можно будет пополнить карту и другими способами, такими как наличные в банкоматах bank_name без комиссии.']",simple,True
"Какие действия следует предпринять, если после пополнения карты деньги не зачислились?","['Какие действия следует предпринять, если после пополнения карты деньги не зачислились?']","['Если после пополнения карты деньги не зачислились, следует обратиться в банк или к оператору платежной системы, чтобы выяснить причину и решить эту проблему.']",simple,True
